,Covidence #,Study ID,Title,Reviewer Name,Title,"Author, Year",Study Design,Population description,Geographic location,Focused on a vulnerable population?,Health categories,Climate categories,Policy/Intervention Level,3 Words about Policy/Intervention,Data Sources,Notes
,4013,Bell 2022,Hospitalizations for chronic conditions following hurricanes among older adults: A self-controlled case series analysis.,Consensus,Hospitalizations for chronic conditions following hurricanes among older adults: A self-controlled case series analysis.,Bell 2022,Research study,Older Adults,US,Elderly ,Cardiovascular; Pulmonary; Mental health,Storm,Federal,,combination of administrative healthcare data and the Federal Emergency Management Agency's Disaster Declaration database,Associations between natural disasters and increased hospitalizations for chronic conditions in elderly 
,9661,Lee 2022,Heat exposure and mental health in the context of climate change,Consensus,Heat exposure and mental health in the context of climate change,Lee 2022,Systematic review,-,United States and Europe,No,"Mental health; Other: The mental health outcomes affected by heat exposure consisted of mortality due to mental illnesses, hospitalizations, emergency department or outpatient visits, aggravation of symptoms, incidence of mental disorders, dementia, suicide, and violence including assault and crime.",Heat,None,no specific intervention,,"Mental health impacts should be fully incorporated into plans for the public health response to high temperatures.

 Knowledge gaps exist on the impact of high temperatures on many common mental health disorders"
,9639,Stowell 2022,Asthma exacerbation due to climate change-induced wildfire smoke in the Western US,Consensus,Asthma exacerbation due to climate change-induced wildfire smoke in the Western US,"Stowell, 2022",Research study,,Western US,No,Pulmonary,Fire; Air quality,None,,,Uses modeling to demonstrate the health impact of wildfire smoke in the future to inform climate change policy and mitigation.
,9560,Manullang 2022,Associations between Ozone and Emphysema: A Systematic Review and Meta-analysis,Consensus,Associations between Ozone and Emphysema: A Systematic Review and Meta-analysis,"Manullang, 2022",Systematic review,,Global,No,Pulmonary,Air quality,None,,,"Ozone has an impact on emphysema and other respiratory diseases, this study shows that this relationship should be considered with environmental policy. "
no mention of health dept. activity and not mental health,3248,Kumar 2024,The projected impact of the inflation reduction act's climate provisions on cardiovascular and respiratory outcomes.,Consensus,The projected impact of the inflation reduction act's climate provisions on cardiovascular and respiratory outcomes.,"
Kumar 2024",Research study,-,All analyses were limited to the United States.,No,Cardiovascular; Pulmonary,Heat; Other: GREEN HOUSE GASES,Federal,Inflation reduction act,Energy Policy Simulator (EPS),"The recently introduced inflation reduction act (IRA) by the United States government includes funding initiatives to curb climate change, and reduce environmental pollution, in line with the nationally determined contribution (NDC) plan (40-50 % reduction in greenhouse gas [GHG] emissions by 2030, as compared with 2005)."
,3180,Bansal 2023,Heatwaves and wildfires suffocate our healthy start to life: time to assess impact and take action.,Consensus,"Heatwaves and wildfires suffocate our healthy start to life: 
time to assess impact and take action","Amita Bansal, 2023",Editorial comment piece,,US,Children; Pregnant persons/ people of childbearing age,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Fire,Federal,Effect of heatwaves on pregnant people,,pregnant people and infants are important vulnerable groups tp focus on while discussing climate change. Knowing the effects of increasing temperatures would better inform the framework
policy but at a federal level,2904,Zangerl 2024,Child health prioritisation in national adaptation policies on climate change: a policy document analysis across 160 countries.,Consensus,Child health prioritisation in national adaptation policies on climate change: a policy document analysis across 160 countries.,"Zangerl, 2024",Other: Policy analysis,Children,160 countries,Children,Cardiovascular; Pulmonary; Mental health,Heat; Storm,Federal,Climate change policy,,Shows climate change policies typically do not include enough provision for children and underestimate the effects of climate change on children.
,2800,Weinstein 2024,Climate change adaptation must not replicate lockdown scenarios.,Consensus,Climate change adaptation must not replicate lockdown scenarios,"Weinstein, 2024",Editorial comment piece,,Global,No,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Storm; Air quality,Federal,Policy for sustainable green space for health,,Provides climate change mitigation plans that are not reliant on people staying in lockdown procedures similar to COVID-19. 
,1072,Lloyd 2016,"Online resource 3: recommended national climate indicators system graphic style guidance. Electronic Supplementary Material published in: Kenney, M.A., Janetos, A.C. & Lough, G.C. Building an integrated U.S. National Climate Indicators System",Consensus,Building an integrated U.S. National Climate Indicators System,"Melissa A. Kenney, 2016",Government paper or tool,,,,Other: Human health generally ,,Federal,,,Framework for developing climate indicato Including those that focus on human health 
,9272,Schweizer 2023,"Using a Statistical Model to Estimate the Effect of Wildland Fire Smoke on Ground Level PM2.5 and Asthma in California, USA",Consensus,"Using a Statistical Model to Estimate the Effect of Wildland Fire Smoke on Ground Level PM2.5 and Asthma in California, USA",Schweizer 2023,Research study,,CA,No,Pulmonary,Fire; Air quality,None,,"Hospital data from California’s Office of Statewide Health Planning and Development (OSHPD); PM data from U.S. EPA 2017), Interagency Monitoring of Protected Visual Environments (IMPROVE 2017), Tribal Exchange Network (TREX 2017), and U.S. Forest Service; Smoke density data is from the National Oceanic and Atmospheric Administration
Hazard Mapping System Fire and Smoke Product",
,9231,Padula 2023,Health Effects of Wildfire Smoke During Pregnancy and Childhood,Consensus,Health Effects of Wildfire Smoke During Pregnancy and Childhood,"Padula, 2023",Systematic review,,,Children; Pregnant persons/ people of childbearing age,"Pulmonary; Mental health; Other: low birth weight, preterm birth",Fire; Air quality,None,,,
,9210,Marczak 2023,Beyond climate anxiety: Development and validation of the inventory of climate emotions (ICE): A measure of multiple emotions experienced in relation to climate change,Consensus,Beyond climate anxiety: Development and validation of the inventory of climate emotions (ICE): A measure of multiple emotions experienced in relation to climate change,"Marczak, 2023",Research study,,Global,No,Mental health,Heat; Storm,None,,,Validates the inventory of climate emotions (ICE) as an instrument to measure the complex range of emotions associated with climate change.
,11,,"Crimmins A, Balbus J, Gamble L, Beard CB, Bell JE, Dodgen D, Eisen RJ, Fann N, Hawkins MD, Herring SC, Jantarasami L, Mills DM, Saha S, Sarofim MC, Trtanj J, Ziska L (2016) The impacts of climate change on human health in the United States: a scientific a",Consensus,The Impacts of Climate Change on Human Health in the United States: A Scientific Assessment,"USGCRP, 2016",Government paper or tool,US,US,Children; Pregnant persons/ people of childbearing age; Elderly ; Workers; Indigenous community member; People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Cardiovascular; Pulmonary; Mental health; Other: vector-borne disease,Heat; Flood; Drought; Storm; Fire; Air quality; Pollen; Water contamination; Food contamination,Federal,Federal Impact Assessment,U.S Global Change Research Program,"The report documents climate change related impacts and responses for 
various sectors and regions, with the goal of better informing public and private 
decision making at all levels"
,8905,Berberian 2024,Children’s health impacts from a proposed decarbonization policy in the transportation sector in the Eastern United States,Consensus,Children’s health impacts from a proposed decarbonization policy in the transportation sector in the Eastern United States,Berberian 2024,Research study,Children,"12 participating Northeast and Mid-Atlantic US states and the District of Columbia:Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Virginia, and Washington DC",Children,Pulmonary; Mental health,Air quality,Federal; State,," Georgetown Climate Center and all 13 jurisdictions participating, 2014–2018 US Census 5-year American Community Survey","Transportation decarbonization policy and its effect on childrens health, positive effects of carbon caps"
,9072,Saltzman 2024,Child and Adolescent Trauma Response Following Climate-Related Events: Leveraging Existing Knowledge With New Technologies,Consensus,Child and Adolescent Trauma Response Following Climate-Related Events: Leveraging Existing Knowledge With New Technologies,"Saltzman, 2024",Research study,Children and adolescents,Global,Children,Mental health,Storm,None,,,Provides information on how to integrate technology into mental health response among children post-disaster.
,7738,Hii 2021,"Respiratory diseases, racial disparities, and residential proximity to coal power plants in Wisconsin, USA: a cross-sectional study",Consensus,"Respiratory diseases, racial disparities, and residential proximity to coal power plants in Wisconsin, USA: a cross-sectional study","Hii, 2021",Research study,Adults,Wisconsin,Socially-vulnerable (e.g. low wealth),Pulmonary,Air quality,Federal; State,Clean energy incentives,,
,5493,Oranje 2024,A health financing policy agenda for climate mitigation and adaptation,Consensus,A health financing policy agenda for climate mitigation and adaptation,"Oranje, 2024",Economic analysis,,,No,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Storm; Air quality,Federal; State,Mitigation and adaptation measures for health policy financing ,,Provides significant policy recommendations.
,9014,Adams 2024,The effect of urban heat islands on pediatric asthma exacerbation: How race plays a role,Consensus,The effect of urban heat islands on pediatric asthma exacerbation: How race plays a role,"Adams, 2024
",Research study,New York City Residents,US,Children; Socially-vulnerable (e.g. low wealth),Pulmonary,Heat,None,,"NYC Community Health Profiles, NYC Population Fact Finder, NYS Asthma Dashboard, NYC Hyperlocal temperature monitoring, Weather Data API via Visual Crossing, and Natural Areas Conservancy’s Nature 
Map. ","Minority groups are more at risk for extreme heat impacts in urban cities, especially black children"
,8978,Bathla 2024,Parental Accommodations as a Predictor of Child Psychological Outcomes Following a Hurricane,Consensus,"Parental Accommodations as a Predictor of
Child Psychological Outcomes Following a
Hurricane",Bathla 2024,Research study,129 Parents during Hurricane Harvey,Texas,Children; Pregnant persons/ people of childbearing age,Mental health,Flood; Storm,None,,Qualtrics survey,Mental and behavioral support for parents and children during disasters.
,4671,Kaufman 2020,Guidance to Reduce the Cardiovascular Burden of Ambient Air Pollutants: A Policy Statement From the American Heart Association.,Consensus,Guidance to Reduce the Cardiovascular Burden of Ambient Air Pollutants: A Policy Statement From the American Heart Association.,"Kaufman, 2020",Systematic review,Vulnerable Populations,US,Socially-vulnerable (e.g. low wealth),Cardiovascular,Air quality,Federal; State,Multiple interventions,Multi-Ethnic Study of Atherosclerosis and Air Pollution,
,8959,Joo 2024,Aged and Obscured Wildfire Smoke Associated with Downwind Health Risks,Consensus,Aged and Obscured Wildfire Smoke Associated with Downwind Health Risks,"Joo, 2024",Research study,,US,No,Pulmonary,Air quality,None,,"ASCENT (Atmospheric Science and Chemistry
mEasurement NeTwork) in NY and EpiQuery−Syndromic Surveillance data for NYC",Provides evidence for policy implementing real-time chemically resolved PM2.5 monitoring.
,8950,Sivaramakrishnan 2024,Arduino-Based Air Quality Monitoring Robot With ML Analysis,Consensus,Arduino-Based Air Quality Monitoring Robot With ML Analysis,"Sivaramakrishnan, 2024",Other: Measurement tool development,,Global,No,Pulmonary,Air quality,None,,,Research into precise weather measurement tool using machine learning.
,4331,Berman 2021,The association between drought conditions and increased occupational psychosocial stress among U.S. farmers: An occupational cohort study.,Consensus,The association between drought conditions and increased occupational psychosocial stress among U.S. farmers: An occupational cohort study,Berman 2021,Research study,498 Midwestern U.S. farmers,Midwestern U.S.,Workers,Mental health,Heat; Drought,Federal; State,federal drought early warning systems,Musculoskeletal Symptoms among Agricultural Workers Cohort study,"Association between drought and increased occupational psychosocial stress among farmers. With North American climate anticipated to become hotter and drier, these findings could provide important health effects data for federal drought early warning systems and mitigation plans."
,8929,Kumari 2024,"Confronting the nexus of climate change: Mental health, food security, and social stability",Consensus,"Confronting the nexus of climate change: Mental health, food security, and social stability
",Kumari 2024,"Other: book chapter: 
Impact of Climate Change on Social and Mental Well-Being ",,,Other:  particularly for people with existing mental health disorders,Mental health; Other: food poverty,Heat; Fire,None,,,"By acknowledging eco-anxiety, climate grief, and the mental health consequences of climate change, societies can develop comprehensive responses that provide psychological support and build community resilience "
,3907,Hii 2022,Respiratory Function and Racial Health Disparities With Residential Proximity to Coal Power Plants in Wisconsin.,Consensus,"Respiratory diseases, racial disparities, and residential proximity to coal power plants in Wisconsin, USA: a cross-sectional study","Hii, 2021",Research study,Adults,Wisconsin,Socially-vulnerable (e.g. low wealth),Pulmonary,Air quality,Federal; State,Clean Energy Incentives,,
,3660,Errett 2023,Climate Change Adaptation Activities and Needs in US State and Territorial Health Agencies.,Consensus,Climate Change Adaptation Activities and Needs in US State and Territorial Health Agencies,"Errett, 2023",Research study,41 of 59 state health departments,US,No,Cardiovascular; Pulmonary,Heat,Federal; State,"additional federal and state investments (eg, Building Resilience Against Climate Effects [BRACE]) are urgently needed to catalyze
climate and health capacity",,"Nineteen S/THAs reported having CHPs, the majority of which are federally funded. On average, S/THAs without
CHPs reported engagement in fewer climate and health activities and more early warning activities. The S/THAs reported the highest levels of concerns regarding non–vector-borne infectious disease (66%), vector-borne infectious diseases (61%), and extreme heat (61%) hazards "
,8875,Gago 2024,A meta-analysis on the relationship between climate anxiety and wellbeing,Consensus,A meta-analysis on the relationship between climate anxiety and wellbeing,"Gago, 2023",Systematic review,,Global ,No,Mental health,Heat; Storm,None,,,Evaluates the applicability of the Climate Change Anxiety Scale in different contexts and the general relationship between climate anxiety and mental health.
,3146,Zheng 2023,Exposure to wildfires and health outcomes of vulnerable people: Evidence from US data.,Consensus,Exposure to wildfires and health outcomes of vulnerable people: Evidence from US data,"Zheng, 2023",Research study,Individuals,US,No,Pulmonary; Mental health,Fire; Air quality,Federal; State,Wildfire Management,"National Vital Statistics System, Behavioural Risk Factor Surveillance System and FIRESTA",
,8766,Crandon 2024,A theoretical model of climate anxiety and coping,Consensus,A theoretical model of climate anxiety and coping,"Crandon, 2024",Other: Discussion of a model,,Global,No,Mental health,Heat; Storm,None,,,Develops a model to help define climate anxiety and its effects on behavior.
,8761,Martinez 2024,"Bridging the COSMOS: How the Inclusion of and Collaboration with Faith-Based Understandings and Indigenous Knowledges Can Transform the Weather, Water, and Climate Enterprise",Consensus,"Bridging the COSMOS: How the Inclusion of and Collaboration with Faith-Based Understandings and Indigenous Knowledges Can Transform the Weather, Water, and Climate Enterprise","Martinez, 2024",Research study,,US,Indigenous community member,Other: Broad range of health effects,Heat; Storm,None,,,Integrating faith-based and indigenous knowledge to improve climate change resilience and foster better connections.
,3133,Civelek 2023,The effect of hurricanes on mental health over the long term.,Consensus,The effect of hurricanes on mental health over the long term ,"Civelek, 2023",Research study,Southern US Residents,Southern US,No,Mental health,Storm,Federal; State,Call to action,Behavioral Risk Factor Surveillance System,"No specific policy/intervention stated, but does state that one is needed and backs it up with data."
,8658,Mendez-Figueroa 2019,16: Impact of severe stress after a major natural disaster on perinatal outcomes,Consensus,Impact of severe stress after a major natural disaster on perinatal outcomes/American Journal of Obstetrics and Gynecology ,"Mendez-Figueroa, 2019",Systematic review,Pregnant women ,Houston,Pregnant persons/ people of childbearing age,Mental health,Other: Hurricane ,None,No intervention ,,Did not identify differences in perinatal outcomes due to self perceived stress 
,8626,Stateman 2019,Comparison between PM2.5 levels on east coast and state of California in relationship to asthma,Consensus,Comparison between PM2.5 levels on east coast and state of California in relationship to asthma,"Ariel J. Stateman, 201",Research study,,US,No,Pulmonary,Fire; Air quality; Pollen,None,,"Behavioral Risk Factor Surveillance System of the US Center for Disease Control and Prevention, Air Quality Index Report of the US Environmental Protection",different risk of exposures across the US
,2782,McNamara 2024,"Mental Health, Climate Change, and Bodily Autonomy: An Analysis of Adolescent Health Policy in the Post-Pandemic Climate.",Consensus,"Mental Health, Climate Change, and Bodily Autonomy
An Analysis of Adolescent Health Policy in the Post-Pandemic Climate
","Meredithe McNamara, 2024",Systematic review,Adolescents,US,Children; Pregnant persons/ people of childbearing age; People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Cardiovascular; Pulmonary; Mental health; Other: Vector-borne illness,Heat,Federal; State,,,
,8593,Graham 2019,A systematic review of peer-reviewed literature authored by medical professionals regarding US biomedicine's role in responding to climate change,Consensus,A systematic review of peer-reviewed literature authored by medical professionals regarding US biomedicine's role in responding to climate change,"Graham, 2019",Systematic review,Medical Professionals,US,No,Cardiovascular; Pulmonary,Heat; Storm,None,,,Shows current evidence regarding health professionals' opinions on health policy and climate change.
,8391,Velazquez 2019,CHANGES IN THE NUMBER OF PEDIATRIC ASTHMATIC PATIENTS TO PICU ADMISSIONS AFTER A NATURAL DISASTER,Consensus,CHANGES IN THE NUMBER OF PEDIATRIC ASTHMATIC PATIENTS TO PICU ADMISSIONS AFTER A NATURAL DISASTER,"Velazquez, 2019",Research study,Patients admitted to hospital,Puerto Rico,No,Pulmonary,Storm; Air quality,None,,,Demonstrates no significant association between asthma and an increase related hospitalizations to inform future planning.
,8372,Abramowitz 2019,Extreme weather events and the onset of psychotic depression,Consensus,Extreme weather events and the onset of psychotic depression,Abramowitz 2019,Research study,259 subjects with psychotic depression,US,People w/pre-existing condition ,Mental health,Heat; Flood; Drought; Storm,None,," National Institute of Mental Health STOP-PD (The Study of Pharmacotherapy of Psychotic Depression), National Oceanic and Atmospheric Administration (NOAA)","Not only are those with Psychotic Depression at risk for the health effects of climate change, but more extreme weather events brought on by climate change will exacerbate this condition. "
,8198,Solecki 2020,"At the Water's Edge: Coastal Settlement, Transformative Adaptation, and Well-Being in an Era of Dynamic Climate Risk",Consensus,"At the Water's Edge: Coastal Settlement, Transformative Adaptation, and Well-Being in an Era of Dynamic Climate Risk","Solecki, 2020",Systematic review,Coastal communities,US Coastal communities,No,Cardiovascular; Pulmonary; Mental health,Flood,None,,,Explores how adaptation and mitigation plans in coastal communities affect the residents.
,43,Vaidyanathan 2020,"Heat-related deaths - United States, 2004-2018’, MMWR",Consensus,"Heat-Related Deaths — United States, 2004–2018","Vaidyanathan, 2020",Government paper or tool,Individuals,US,No; Socially-vulnerable (e.g. low wealth); Other: Heat contributed to deaths relating to alcohol and drugs,Cardiovascular,Heat,Federal; State,surveillance and implementation,,
,9976,Swiatek 2021,Six months after Maria: A post-hurricane examination of mental health and associated risk factors in older Puerto Ricans,Consensus,Six months after Maria: A post-hurricane examination of mental health and associated risk factors in older Puerto Ricans,"Swiatek, 2021",Research study,523 older and elderly Puerto Ricans,PR,Elderly ,Mental health,Storm,Federal; State; Local,use multiple mental health screening tools; prioritize water restoration,,"Used in conjunction, PHQ-9 and ASQ were found to identify a greater proportion of individuals experiencing adverse mental health effects than if each instrument was used in isolation. Patients were also surveyed about time to water and electricity restoration, and it was found that prolonged time to water restoration was associated with increased prevalence and severity of depression and decreased perceived safety"
,9951,Mosby 2020,"Frameworks of recovery: Health caught at the intersection of housing, education, and employment opportunities after hurricane katrina",Consensus,"Frameworks of Recovery: Health Caught 
at the Intersection of Housing, Education, 
and Employment Opportunities After 
Hurricane Katrina",Mosby 2020,Other: book chapter,7 residents displaced by Hurricane Katrina,"Houston, TX",Socially-vulnerable (e.g. low wealth),Mental health,Storm,Federal; State; Local,"address housing, education and employment in the long-term after disaster, especially in the displaced population",,"Participants framed their health as caught in the intersection of housing, education, and employment issues. They attributed problems with anxiety, depression, PTSD, high blood pressure, anger, fatigue, and headaches to post-storm challenges finding housing, schools, and jobs. Seeing the devastation linger in their neighborhoods for years also caused emotional distress, which fostered a corrosive community."
,7986,Ignaszewski 2020,43.1 A REVIEW OF CLIMATE CHANGE IMPACT ON YOUTH AND FAMILY MENTAL HEALTH,Consensus,A Review of Climate Change Impact on Youth and Family Mental Health,"Ignaszewski, 2020",Systematic review,Children and adolescents ,Global,Children,Mental health,Heat; Storm,None,,,Provides information on psychiatrists' role in handling eco-anxiety among children and adolescents.
,7985,Gonzalez-Conty 2020,66.3 ESTABLISHING MENTAL HEALTH SERVICES THROUGH TELEPSYCHIATRY AFTER A NATURAL DISASTER,Consensus,Establishing Mental Health Services Through Telepsychiatry After a Natural Disaster,"Gonzalez-Conty, 2020",Research study,Refugees from hurricanes in Puerto Rico,Puerto Rico,Socially-vulnerable (e.g. low wealth),Mental health,Storm,None,,,Examines the feasibility of expanding mental health services for those who have been impacted by extreme weather events.
,9696,Karthick 2022,Impact Analysis of Heat on Physical and Mental Health of Construction Workforce,Consensus,Impact Analysis of Heat on Physical and Mental Health of Construction Workforce,Karthick 2022,Research study,100 construction workers who work in various sectors including transportation.,,Workers,"Mental health; Other: fatigue, level of hydration, and kidney disease",Heat,Federal; State; Local,"reaks, continuous hydration, sufficient cooling facilities, and acclimatization of workers",,"excessive heat affects workers both mentally (difficulty concentrating, irritableness, and frequent mood swings) and physically (fatigue, level of hydration, and kidney disease). Perspiration also plays a role in how a worker is impacted by the heat, as higher blood sugar levels and hypertension are more common among 
workers who perspire less"
,7980,Hertz-Picciotto 2020,43.3 MENTAL HEALTH IN CHILDREN AND ADOLESCENTS EXPOSED TO THE 2017 AND/OR 2018 WILDFIRES IN NORTHERN CALIFORNIA,Consensus,Mental Health in Children and Adolescents Exposed to the 2017 and/or 2018 Wildfires in Northern California,"Hertz-Picciotto, 2020",Research study,"10,000 people in the area of fires",California,Children,Mental health,Fire,None,,,Evaluates the impact of fires on children and adolescent mental health.
,9339,Marlier 2023,Wildfire Smoke Exposures and Adult Health Outcomes,Consensus,Wildfire Smoke Exposures and Adult Health Outcomes,"Miriam E. Marlier, 2023",Systematic review,,Global,No,Cardiovascular; Pulmonary; Mental health,Fire; Air quality,Federal; State; Local,Multi-level approaches,,
,9300,Dickey 2023,Psychosocial and Physical Challenges from a Natural Hazard: Implications for Resilience in the Black Community,Consensus,Psychosocial and Physical Challenges from a Natural Hazard: Implications for Resilience in the Black Community,"Dickey, 2023",Research study,25 people from Black community in Bay County,FL,Socially-vulnerable (e.g. low wealth),Mental health,Storm,Federal; State; Local,get rid of racist policies regarding recovery post-storm,,"(1) change FEMA rules to recognize intergenerational home ownership and provide assistance to apply; (2) rebuild Black schools, businesses, churches, and individual homes; and (3) monitor racist practices by contractors"
,9091,Levy 2024,"A human rights-based approach to climate injustices at the local, national, and international levels: Program and policy recommendations",Consensus,"A human rights-based approach to climate injustices at the local, national, and international levels: Program and policy recommendations","Levy, 2024",Other: Policy recommendations,,,Socially-vulnerable (e.g. low wealth),Cardiovascular; Pulmonary; Mental health,Heat; Flood; Drought; Storm; Air quality,Federal; State; Local,"Climate literacy, disaggregated data collection and monitoring, and prevention",,"Provides human rights-based, climate injustice informed policy recommendations"
,7672,Yan 2021,"Tropical Cyclone Exposures and Risks of Emergency Medicare Hospital Admission for Cardiorespiratory Diseases in 175 Urban United States Counties, 1999-2010",Consensus,"Tropical Cyclone Exposures and Risks of Emergency Medicare Hospital Admission for Cardiorespiratory Diseases in 175 Urban United States Counties, 1999-2010","Yan, 2021",Research study,Residents,Urban United States Counties,Elderly ,Cardiovascular; Pulmonary,Storm,None,,,
,7671,Gilmore 2021,"A Longitudinal Examination of Interpersonal Violence Exposure, Concern for Loved Ones During a Disaster, and Web-Based Intervention Effects on Posttraumatic Stress Disorder Among Adolescent Victims of the Spring 2011 Tornadoes",Consensus,"A Longitudinal Examination of Interpersonal Violence Exposure, Concern for Loved Ones During a Disaster, and Web-Based Intervention Effects on Posttraumatic Stress Disorder Among Adolescent Victims of the Spring 2011 Tornadoes","Gilmore, 2021",Research study,Adolescents in area of tornadoes,US,Socially-vulnerable (e.g. low wealth),Mental health,Other: tornado,None,,,Tested an intervention for adolescents who experienced interpersonal violence and PTSD related to environmental disasters.
,7574,Li 2021,Coping with post-hurricane mental distress: The role of neighborhood green space,Consensus,Coping with post-hurricane mental distress: The role of neighborhood green space,"Li, 2021",Research study; Other: cross sectional,30 Houston neighborhoods that were affected during Hurricane Harvey. ,"Houston, TX ",No,Mental health,Storm; Other: hurricane,None,-,,"living in neighborhoods with greater perceived quality of green space was associated with lower levels of post-hurricane distress,"
