Author,Title,Paper Type,Population,Location,Vulnerable,Health Impact,Climate Exposure,Policy Intervention type,Intervention Details,Data Sources,Notes
,"Hess JJ, Saha S, Schramm PJ, Conlon KC, Uejio CK, Luber GL (n.d.) “Projecting climate-related disease burden: a guide for health departments.” In, edited by Centers for Disease Control and Prevention. Atlanta, GA",Government paper or tool,US,US,Children; Elderly ,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Flood; Drought; Storm; Fire; Air quality; Pollen; Water contamination; Food contamination,Federal; State; Local,CDC guide,"NOAA's Global Historical Climatology Network (GHCN); National Land Data Assimilation System (NLDAS); CDC's Environmental Public Health Tracking program has archived NLDAS; EPA's  Climate Change Indicators in the United States;  federally-administered datasets, e.g., the National Emergency Department Sample of the Healthcare Cost and Utilization Project; National Vital Statistics System
",Guidelines on how health departments can monitor health outcomes more generally. Suggests modeling future health outcomes using predictive climate models connected with causal health pathways. This is an interesting approach that considers potential changes in the future population.
Mundo 2024,Operational Stress Injuries in Disaster Responders: A Framework for Supporting Mental Health in Climate Crisis.,Editorial comment piece,,,Workers,Mental health,Other: disasters,Federal; State; Local,"create training modules focused on bolstering psychological resilience, stress management, and coping strategies for disaster responders",,
Ezeonu 2024,Mobile Apps to Support Mental Health Response in Natural Disasters: Scoping Review.,Systematic review,,,,Mental health,Other: natural disasters,Federal; State; Local,mobile apps to support mental health,,"All 3 survivor-based apps were found to have positive benefits in addressing mental health issues among persons exposed to natural disasters. The TLS mobile app was shown to be effective in increasing positive and decreasing negative psychological factors according to app use time. The TLS mobile apps’ use had a significant effect on the emotional quotients (β=.550 P<.008), explanatory power (EP) was 30%, had a significant positive effect on the basic rhythm quotient (left brain: β=.598; P<.003; EP 35; right brain: β=.451; P<.035; EP 20%). Additionally, it had a significant positive effect on the alpha-blocking rate (left brain: β=.510; P<.015; EP 26%; right brain: β=.463; P<.035, EP 21%); and a significant positive effect on the brain quotient (β=.451; P<.035; EP 20%) [16]. The Headspace app had a positive effect on depression (odds ratio [OR] 0.3, 95% CI 0.11-0.81), physical activity (OR 2.8, 95% CI 1.0-7.8), sleep latency (OR 0.3, 95% CI 0.11-0.81), sleep duration (OR 0.3, 95% CI 0.07-0.86), and sleep quality (OR 0.1, 95% CI 0.02-0.96); however, there was no change in mindfulness scores from baseline to follow-up. For the Sonoma Rises app, no significant effects were observed for the clinical and functional outcomes because the longitudinal part of the study was affected by limited statistical power as a result of small sample size and historical confounds that made the participants miss data submission. However, visual inspection of individual data following the intervention showed downward trends across the study phases for daily levels of anxiety, fearfulness, and individual posttraumatic stress symptom severity"
Swiatek 2021,Six months after Maria: A post-hurricane examination of mental health and associated risk factors in older Puerto Ricans,Research study,523 older and elderly Puerto Ricans,PR,Elderly ,Mental health,Storm,Federal; State; Local,use multiple mental health screening tools; prioritize water restoration,,"Used in conjunction, PHQ-9 and ASQ were found to identify a greater proportion of individuals experiencing adverse mental health effects than if each instrument was used in isolation. Patients were also surveyed about time to water and electricity restoration, and it was found that prolonged time to water restoration was associated with increased prevalence and severity of depression and decreased perceived safety"
Dickey 2023,Psychosocial and Physical Challenges from a Natural Hazard: Implications for Resilience in the Black Community,Research study,25 people from Black community in Bay County,US/FL,Socially-vulnerable (e.g. low wealth),Mental health,Storm,Federal; State; Local,get rid of racist policies regarding recovery post-storm,,"(1) change FEMA rules to recognize intergenerational home ownership and provide assistance to apply; (2) rebuild Black schools, businesses, churches, and individual homes; and (3) monitor racist practices by contractors"
Mosby 2020,"Frameworks of recovery: Health caught at the intersection of housing, education, and employment opportunities after hurricane katrina",Other: book chapter,7 residents displaced by Hurricane Katrina,"US/Houston, TX",Socially-vulnerable (e.g. low wealth),Mental health,Storm,Federal; State; Local,"address housing, education and employment in the long-term after disaster, especially in the displaced population",,"Participants framed their health as caught in the intersection of housing, education, and employment issues. They attributed problems with anxiety, depression, PTSD, high blood pressure, anger, fatigue, and headaches to post-storm challenges finding housing, schools, and jobs. Seeing the devastation linger in their neighborhoods for years also caused emotional distress, which fostered a corrosive community."
Mancini 2021,"Outside the Eye of the Storm: Can Moderate Hurricane Exposure Improve Social, Psychological, and Attachment Functioning?.",Research study,209 university students,US/NY,,Mental health,Storm,Federal; State; Local,"moderate disaster exposure can benefit short-term social, psychological, and attachment functioning",,"The hurricane cohort, in contrast to matched comparison cohorts, reported increased social support, reduced 
global distress, reduced negative emotion, and reduced attachment avoidance at the end of the semester. Increased social support mediated the relationship between hurricane cohort and reduced global distress, negative emotion, attachment avoidance, and attachment anxiety, and increased positive emotion and self-esteem at 6 weeks poststorm"
Felix 2020,Why Family Communication Matters: the Role of Co-rumination and Topic Avoidance in Understanding Post-Disaster Mental Health.,Research study,85 parent-child dyads following severe floods,US/Texas,Children; Pregnant persons/ people of childbearing age,Mental health,Storm,Federal; State; Local,teach parents to talk about disaster but not ruminate,,"At low levels of topic avoidance, there was no association between flood exposure and child anxiety or depression. However, at mean and high levels of topic avoidance, there was a significant, positive association between flood exposure and child anxiety and depression. Co-rumination impacted both parents and children. For parents, there was no association between flood exposure and depression or anxiety when co-rumination was low or mean-level. However, flood exposure increased risk for depression and anxiety at high levels of co-rumination. A similar pattern emerged for children"
Fitzpatrick 2020,Suicide ideation and a post-disaster assessment of risk and protective factors among Hurricane Harvey survivors: Suicide Ideation Among Hurricane Harvey Survivors,Research study,sample of Hurricane Harvey survivors (n=316),US/Texas Gulf Coast,No,Mental health,Storm,Federal; State; Local,target anti-suicide campaigns to most vulnerable; consider optimism as an antidote,,"Females, persons with elevated symptoms of post-traumatic stress symptoms, persons reporting moderate to high levels of food insecurity, and those with previous mental health issues were related to higher odds in reported suicide ideation. We examined a number of protective factors and religious social capital and optimism were negative and statistically significant (p < 0.05) and related to lower odds of suicide ideation"
Woodland 2023,Investigating the Health Impacts of Climate Change among People with Pre-Existing Mental Health Problems: A Scoping Review.,Systematic review,,,People w/pre-existing condition ,Mental health,,Federal; State; Local,people with pre-existing mental health problems should be included in adaption guidance or plans,,"The majority of the studies (90%,
n = 28) suggest an association between the presence of pre-existing mental health problems and the likelihood of adverse health impacts (e.g., increased mortality risk, new symptom presentation, and an exacerbation of symptoms). "
Zavala 2024,Gender Inequities in the Impact of Climate Change on Health: A Scoping Review.,Systematic review,,,No,Mental health,,Federal; State; Local,consider targeting women's mental health,,"Risk factors: magnitude of disaster, female gender, younger age, low education and socioeconomic status, loss or injury of loved ones, minority or ethnic status, immigrant groups, indigenous people, family instability, intimate partner violence, pre-existing health conditions or/and mental health issues, and lack of access to health and support services; Women experience a wide range of emotions due to climate change, with some experiencing specific psychological disorders "
Fuller 2022,Climate Change and State of the Science for Children's Health and Environmental Health Equity.,Systematic review,,,Children,Pulmonary; Mental health,Heat; Flood; Drought; Storm; Fire; Air quality; Water contamination; Food contamination,Federal; State; Local; Other: Global,,,"Policy approaches , ties weather events to different illnesses in children "
Vega 2023,Community Corrections Officers' Perspectives of the Impact of Hurricane Maria on the Participant's Mental Health and Substance Use: A Qualitative Content Analysis.,Research study,"Persons on parole or probation 
(PoPP)",Puerto Rico,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,Federal; State; Other: Community correctional officers,,,
Vana 2024,28.1 Air Quality and Children's Mental Health: Purple Air and Purple Mood,Editorial comment piece,Children ,US and international,Children,Cardiovascular; Pulmonary; Mental health,Air quality,Local,Psychiatrists advocate for change ,,
Garcia 2024,Wildfires and social media discourse: exploring mental health and emotional wellbeing through Twitter.,Research study,Twitter users,US/CA,No,Mental health,Fire,Local,identify concerns issues via Twitter,,"data can be used by public health
authorities to launch targeted media campaigns in areas and hours where users are more active. Such campaigns can raise awareness about mental health during disasters and connect individuals with relevant resources. The effectiveness
of these campaigns can be enhanced by tailoring outreach efforts based on
prevalent issues highlighted by users."
Newman 2022,"The relationships between neighbourhood vacancy, probable PTSD, and health-related quality of life in flood-disaster-impacted communities",Research study,257 households,"US/Houston, TX",No,Mental health,Flood,Local,vacancy rates,,significant relationships between higher neighbourhood vacancy and elevated risks of PTSD and impaired HRQOL
Garske 2021,Space-Time Dependence of Emotions on Twitter after a Natural Disaster.,Research study,NYC Twitter users in 2012,"US/NY, NY",No,Mental health,Flood; Storm,Local,used Twitter to assess emotions,American Community Survey; Federal Emergency Management Agency,clusters of emotional reactions during and in the aftermath of a large-scale disaster that could help provide guidance about where immediate and long-term relief measures are needed the mos
Dumont 2023,Mapping Heat Vulnerability of a Community Mental Health Center Population.,Research study,Patients,US/Greater New Haven,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Mental health,Heat,Local,Community based wellness,,
Palinkas 2022,"Vulnerable, Resilient, or Both? A Qualitative Study of Adaptation Resources and Behaviors to Heat Waves and Health Outcomes of Low-Income Residents of Urban Heat Islands.",Research study,40 parents of middle and high school students participating in the University of Southern California’s (USC) McMorrow Neighborhood Academic Initiative,"US/Los Angeles, CA",No,Pulmonary; Mental health,Heat,Local,"availability of AC, transportation to cooler spaces, social support networks",,
Lanza 2023,Heat vulnerability of Latino and Black residents in a low-income community and their recommended adaptation strategies: A qualitative study,Research study,"18 economically disadvantaged adults (female = 17, Latino = 16, Black = 2) in an area with high urban heat island intensity",US/Texas Austin,Socially-vulnerable (e.g. low wealth),Pulmonary; Physical activity; Mental health,Heat,Local,"recommended adding trees, shade structures, parks, pools, splash pads, and drinking fountains",,"heat exposure was only mentioned outdoors (active transportation, outdoor work, recreation); adjusting to heat 
included staying home, drinking liquids, changing schedules, and using air conditioning; barriers to adjusting to heat were lack of trees, shade, greenspace, and bluespace, along with electricity cost and power outages."
Connerton 2019,Building Community Resilience to Mitigate Mental Health Effects of Climate Change.,Editorial comment piece,Individuals,US/louisiana,No,Cardiovascular; Pulmonary; Mental health,Heat; Air quality; Water contamination; Food contamination,Local,Community Infrastructure,,
Ansah 2024,Health systems response to climate change adaptation: a scoping review of global evidence.,Systematic review,US,Global(was labeled US),No,Mental health,Heat; Flood; Water contamination; Food contamination,Local,Health System Adaptation,,"Discusses a multitude of policy options for many levels of government, could be used to inform a number of policies."
Crane 2022,"Climate Change and Mental Health: A Review of Empirical Evidence, Mechanisms and Implications.",Systematic review,Individuals,Global,No,Mental health,Heat; Storm; Fire,Local,Find pathways of action,,
Baggerly 2022,Cultural adaptations for disaster response for children in Puerto Rico after Hurricane María,Editorial comment piece,children in Puerto Rico,PR,Children,Mental health,Storm,Local,"culturally specific, field-tested preparation and procedures to promote Puerto Rican children’s mental health after disasters","Psychological First Aid Field Manual (Primeros
Auxilios Psicológicos Guía de Operaciones Prácticas 2da edición); Parent Guidelines (Guia Para Los
Padres: Para Ayudar A Los Ninos Despues De Un Huracan); After the Hurricane: Helping Young
Children Heal (Después de Pasar por La Experiencia de Un Huracán: Ayudando a Nuestros Niños a
Sanar); and Trinka and Sam: The rainy windy day (Trinka y Juan: On un día de mucho viento y lluvia)
children’s story.",
Cruz-López 2024,Universal Behavioral Screening: Inclusion of Student’s Trauma Symptoms and Hurricane Exposure,Research study,Students,US Southeastern,Children,Mental health,Storm,Local,School screenings,,
Bevilacqua 2020,Understanding Associations Between Hurricane Harvey Exposure and Mental Health Symptoms Among Greater Houston-Area Residents.,Research study,Residents,US/greater Houston area,No,Mental health,Storm,Local,disaster response programs,,
Blackburn 2022,"The lingering impact of Hurricane Katrina: Examining the physical health, mental health, and racial equity impacts of disaster response.",Research study,Residents,US/New Orleans,No,Mental health,Storm,Local,disaster response,,
Corley 2022,Mental Health Effects of Hurricane Sandy on Older Adults.,Research study,Residents,US/New York City and Long Island,Elderly ,Mental health,Storm,Local,Emergency Preparedness,,
Schwartz 2019,Examining Associations Between Hurricane Sandy Exposure and Posttraumatic Stress Disorder by Community of Residence.,Systematic review; Research study,Residents,"US/NY/lower Manhattan, Queens, Long Island, Staten Island, and the Rockaways",Socially-vulnerable (e.g. low wealth),Mental health,Storm,Local,Promote Resilience,,
Wortzel 2022,Perspectives on Climate Change and Pediatric Mental Health: a Qualitative Analysis of Interviews with Researchers in the Field.,Systematic review,Individuals,Global,Children,Mental health,Flood; Storm,Local; Other: Individual,School and parent intervention,,
Smiley 2022,Multi-scalar and multi-dimensional conceptions of social capital and mental health impacts after disaster: the case of Hurricane Harvey.,Research study,Residents,US/Rural and Urban Texas,No,Mental health,Storm,Local; Other: Individual,Stronger community engagement,,
LafargaPrevidi 2022,The Impact of Natural Disasters on Maternal Health: Hurricanes Irma and Maria in Puerto Rico.,Research study,"PROTECT participants
who were pregnant during hurricanes Irma or Maria or who became pregnant shortly after. between 1 September 2017 and 20 March 2018",Puerto Rico North Karst Region,Pregnant persons/ people of childbearing age; Socially-vulnerable (e.g. low wealth); Other: and post-partum ,Mental health,Other: natural disaster Hurricanes Irma and María ,None,,,"disruption in access to basic services such as electricity, water, Wi-Fi, food and gasoline due to natural disasters has a unique
impact on the physical and mental health of pregnant and post-partum women.

Economically vulnerable populations are usually not prepared for hurricanes.

Pregnant and post-partum women are more vulnerable in comparison to the general population due to the physiological and psychological changes"
Ryan 2024,A call for solutions-oriented research and policy to protect children from the effects of climate change,Editorial comment piece,Children,Global,Children,Cardiovascular; Physical activity; Mental health,Air quality,None,,,Editorial on children and air pollution current situation and potential solutions. 
Picetti 2023,Effects on child and adolescent health of climate change mitigation policies: A systematic review of modelling studies,Systematic review,Global,Global,Children,Cardiovascular; Pulmonary; Physical activity; Mental health,Air quality,None,,NA,"Not government done metrics only assessed by studies, looks at policy implications"
Taylor 2021,A framework for estimating the United States depression burden attributable to indoor fine particulate matter exposure.,Research study,US population ,US,No,Mental health,Air quality,None,,,Establishes a connection between indoor PM2.5 pollution and adult depression with a model that is modifiable to local areas and provides potential solutions to improve the built environment.
Isaac 2023,"Differences in Anxiety, Insomnia, and Trauma Symptoms in Wildfire Survivors from Australia, Canada, and the United States of America.",Research study,"126 wildfire survivors from USA, Canada, and Australia ",Global,No; Socially-vulnerable (e.g. low wealth),Mental health,Fire,None,,,
Hertz-Picciotto 2020,43.3 MENTAL HEALTH IN CHILDREN AND ADOLESCENTS EXPOSED TO THE 2017 AND/OR 2018 WILDFIRES IN NORTHERN CALIFORNIA,Research study,"10,000 people in the area of fires",US/California,Children,Mental health,Fire,None,,,Evaluates the impact of fires on children and adolescent mental health.
Humphreys 2022,"What can we do when the smoke rolls in? An exploratory qualitative analysis of the impacts of rural wildfire smoke on mental health and wellbeing, and opportunities for adaptation.",Research study,,"US/Methow Valley (MV) in Okanogan County, Washington",No,Mental health,Fire,None,,,"Participants identified a variety of negative mental health and wellbeing impacts of wildfire events, including heightened anxiety, depression, isolation, and a lack of motivation, as well as physical health impacts (e.g., respiratory issues and lack of exercise"
Cowlishaw 2021,Anger Dimensions and Mental Health Following a Disaster: Distribution and Implications After a Major Bushfire.,Research study,Residents of rural communities in the area of Black Saturday bushfires in Australia ,"Victoria, Australia",No,Mental health,Fire,None,,,"Examines the relationship between climate events, anger, and other negative mental health outcomes."
Giles 2024,Running Through the Haze: How Wildfire Smoke Affects Physical Activity and Mental Well-Being.,Research study,Survey Participants,US/Canada British Columbia and Washington state,No,Physical activity; Mental health,Fire; Air quality,None,,,
Padula 2023,Health Effects of Wildfire Smoke During Pregnancy and Childhood,Systematic review,,,Children; Pregnant persons/ people of childbearing age,"Pulmonary; Mental health; Other: low birth weight, preterm birth",Fire; Air quality,None,,,
Cherry 2020,"Assessing mental health after a disaster: Flood exposure, recovery stressors, and prior flood experience",Other: Book chapter,Those impacted by 2016 floods in Louisiana,US,No,Mental health,Flood,None,,,Demonstrates flooding experience is a significant predictor of current mental health status.
Sheng 2024,Associations between flood risk and US Census tract-level health outcomes.,Research study,US population,US,No,Cardiovascular; Pulmonary; Mental health,Flood,None,,"First Street Foundation data, US census",Provides a country-level view of health risks after flooding using a large-scale epidemiological approach. 
Solecki 2020,"At the Water's Edge: Coastal Settlement, Transformative Adaptation, and Well-Being in an Era of Dynamic Climate Risk",Systematic review,Coastal communities,US Coastal communities,No,Cardiovascular; Pulmonary; Mental health,Flood,None,,,Explores how adaptation and mitigation plans in coastal communities affect the residents.
Felix 2019,Addressing Disaster Exposure Measurement Issues With Latent Class Analysis.,Research study,Parents and youth exposed to floods in Texas,US/Texas,Children,Mental health,Flood,None,,,Improves understanding of exposure experiences of survivors of natural disasters and the connection to mental health outcomes.
Golitaleb 2022,Prevalence of Post-traumatic Stress Disorder After Flood: A Systematic Review and Meta-Analysis.,Systematic review,,,No,Mental health,Flood,None,,,"prevalence of PTSD in flood victims is 29.48% (95% CI: 18.64–40.31, I2 = 99.3%, p-value < 0.001)"
Auchincloss 2024,Adolescent mental distress in the wake of climate disasters.,Research study,"38,616 high-school students residing in 22 urban public-school districts in 
14 states",US,Children,Mental health,Flood; Drought; Storm; Fire; Air quality; Pollen; Water contamination; Food contamination,None,,"U.S. Federal Emergency Management Agency’s (FEMA), federal disaster declaration database (National Emergency Management Information System,  U.S. Census American Community Survey 2015–2019, U.S. Youth Risk Behavior Survey, 2019",
Johnson 2024,Predicting Post-Disaster Post-Traumatic Stress Disorder Symptom Trajectories: The Role of Pre-Disaster Traumatic Experiences,Research study,Disaster survivors with pre-disaster trauma ,US,People w/pre-existing condition ,Mental health,Flood; Storm,None,,"Resilience in Survivors of Katrina (RISK) study,",
An 2019,Impact of Hurricane Katrina on Mental Health among US Adults.,Research study,Residents of Hurricane Katrina affected areas from Behavioral Risk Factor Surveillance System 2004-2006,US,No,Mental health; Other: physical health,Flood; Storm,None,Difference in differences study to determine the effects of Hurricane Katrina on mental health.,Behavioral Risk Factor Surveillance System,Used nationwide survey data available to all to determine areas and populations with higher poor mental health days due to a terrible storm.
Bathla 2024,Parental Accommodations as a Predictor of Child Psychological Outcomes Following a Hurricane,Research study,129 Parents during Hurricane Harvey,US/Texas,Children; Pregnant persons/ people of childbearing age,Mental health,Flood; Storm,None,,Qualtrics survey,Mental and behavioral support for parents and children during disasters.
Morales-Gomez 2022,Burnout and Self-Perceived Stress in Workers in Essential Services after the Impact of Hurricanes Irma and Maria.,Research study,163 employees of the electric company aged 21 years and older,Puerto Rico,Workers; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,None,,,
Karaye 2020,Self-Rated Mental and Physical Health of U.S. Gulf Coast Residents.,Research study,3030 residents of the U.S. Gulf Coast,US,No,Physical activity; Mental health,Flood; Storm; Water contamination; Food contamination,None,,,
Flores 2024,Health Disparities in the Aftermath of Flood Events: A Review of Physical and Mental Health Outcomes with Methodological Considerations in the USA.,Systematic review; Research study,People exposed to flooding,US,Socially-vulnerable (e.g. low wealth),Physical activity; Mental health,Flood; Storm; Water contamination; Food contamination,None,,"Common flood exposure metrics included self-reported flooding, flood risk models, and satellite-based observations.","Seventy percent of studies lacked baseline health measurements or suitable alternatives, and only 19% incorporated community engagement into their research design."
Lowe 2020,Predisaster predictors of posttraumatic stress symptom trajectories: An analysis of low-income women in the aftermath of Hurricane Katrina.,Research study,,USA,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,None,Disaster preparedness ,"22-item Impact of Events Scale-Revised, Social Provisions Scale (SPS)",
Lehmann 2022,Association of Daily Temperature With Suicide Mortality: A Comparison With Other Causes of Death and Characterization of Possible Attenuation Across 5 Decades,Research study,Analyzed death data ,France,No,Mental health,Heat,None,,Cause of death data - country specific,Establishes that extreme heat should be considered in suicide prevention programs.
Thompson 2023,Ambient temperature and mental health: a systematic review and meta-analysis.,Systematic review,,Global,No,Mental health,Heat,None,,,Increased temperature and variability can be associated with higher indicators of poor mental health.
Sun 2021,Ambient heat and risks of emergency department visits among adults in the United States: time stratified case crossover study.,Research study,All commercial and Medicare Advantage beneficiaries (74.2 million) aged 18 years and older between May and September 2010 to 2019,US,No,Cardiovascular; Pulmonary; Mental health,Heat,None,,,"heat was associated with higher risk of ED visits for mental health, but not cardiovascular or respiratory diseases"
Nori-Sarma 2022,"Association Between Ambient Heat and Risk of Emergency Department Visits for Mental Health Among US Adults, 2010 to 2019.",Research study,Adults over 18 with commercial or Medicare Advantage insurance ,US,No,Mental health,Heat,None,,,Evaluates emergency department visits to show an increase in mental health admissions during extreme heat to inform health services and preparation efforts. 
